Date,SMS
10/19/2025,INR 2500 debited from your account at Amazon
10/20/2025,Your account credited with INR 5000 via NEFT
10/21/2025,INR 1500 debited from your account at Flipkart
10/22/2025,Your account credited with INR 2000 via UPI
10/23/2025,INR 3500 debited from your account at Paytm
10/24/2025,Your account credited with INR 7000 via NEFT
10/25/2025,INR 450 debited from your account at Big Basket
10/26/2025,Your account credited with INR 600 via Wallet
10/27/2025,INR 1000 debited from your account at BookMyShow
10/28/2025,Your account credited with INR 2500 via NEFT
